Glottocode,Name,Family,Split,val_a,val_b,Category
darm1243,Darma,Trans-Himalayan,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
darm1243,Darma,Trans-Himalayan,"Realis
(IRR vs REAL)",1,1,Uniform ERG
dech1234,Lisu (Dechang dialect),Sino-Tibetan,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
dech1234,Lisu (Dechang dialect),Sino-Tibetan,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
dech1234,Lisu (Dechang dialect),Sino-Tibetan,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
dech1234,Lisu (Dechang dialect),Sino-Tibetan,"Realis
(IRR vs REAL)",1,1,Uniform ERG
dhar1247,Thargari,Pama-Nyungan,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
dhar1247,Thargari,Pama-Nyungan,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
dhar1247,Thargari,Pama-Nyungan,"Realis
(IRR vs REAL)",1,1,Uniform ERG
dhar1248,Dharumbal,Pama-Nyungan,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
dhar1248,Dharumbal,Pama-Nyungan,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
dier1241,Dieri,Pama-Nyungan,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
dier1241,Dieri,Pama-Nyungan,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
dier1241,Dieri,Pama-Nyungan,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
dier1241,Dieri,Pama-Nyungan,"Realis
(IRR vs REAL)",1,1,Uniform ERG
djam1255,Jaminjung,Mirndi,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
djam1255,Jaminjung,Mirndi,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
djin1251,Jingulu,Mirndi,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
djin1251,Jingulu,Mirndi,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
djin1251,Jingulu,Mirndi,"Realis
(IRR vs REAL)",1,1,Uniform ERG
doma1260,Domaaki,Indo-European,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
drun1238,Drung,Trans-Himalayan,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
drun1238,Drung,Trans-Himalayan,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
drun1238,Drung,Trans-Himalayan,"Realis
(IRR vs REAL)",1,1,Uniform ERG
dumi1241,Dumi,Trans-Himalayan,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
dumi1241,Dumi,Trans-Himalayan,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
dumi1241,Dumi,Trans-Himalayan,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
dumi1241,Dumi,Trans-Himalayan,"Realis
(IRR vs REAL)",1,1,Uniform ERG
dura1244,Dura,Trans-Himalayan,"Aspect
(IMPF vs PERF)",0,1,Expected split
dura1244,Dura,Trans-Himalayan,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
dura1244,Dura,Trans-Himalayan,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
dura1244,Dura,Trans-Himalayan,"Realis
(IRR vs REAL)",1,1,Uniform ERG
duun1241,Duungidjawu,Pama-Nyungan,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
duun1241,Duungidjawu,Pama-Nyungan,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
duun1241,Duungidjawu,Pama-Nyungan,"Realis
(IRR vs REAL)",1,1,Uniform ERG
dyan1250,Dhanggati,Pama-Nyungan,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
dyan1250,Dhanggati,Pama-Nyungan,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
dyan1250,Dhanggati,Pama-Nyungan,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
dyan1250,Dhanggati,Pama-Nyungan,"Realis
(IRR vs REAL)",1,1,Uniform ERG
dyir1250,Dyirbal,Pama-Nyungan,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
dyir1250,Dyirbal,Pama-Nyungan,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
dzon1239,Dzongkha,Trans-Himalayan,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
dzon1239,Dzongkha,Trans-Himalayan,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
east2343,Yohlmo,Trans-Himalayan,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
east2343,Yohlmo,Trans-Himalayan,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
east2516,East Kewa,Trans-New Guinea,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
east2516,East Kewa,Trans-New Guinea,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
east2516,East Kewa,Trans-New Guinea,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
east2516,East Kewa,Trans-New Guinea,"Realis
(IRR vs REAL)",1,1,Uniform ERG
east2545,Eastern Pomo,Pomoan,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
east2545,Eastern Pomo,Pomoan,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
east2773,Dolakha Newar,Trans-Himalayan,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
east2773,Dolakha Newar,Trans-Himalayan,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
east2773,Dolakha Newar,Trans-Himalayan,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
east2773,Dolakha Newar,Trans-Himalayan,"Realis
(IRR vs REAL)",1,1,Uniform ERG
east2851,Geshiza,Trans-Himalayan,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
east2851,Geshiza,Trans-Himalayan,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
