Glottocode,n_coded,n_match,score,score_of_total,ID,Name,Family,Ergative_type
choc1275,16,15,0.9375,0.6818181818181818,choc1275,Chocangacakha,Trans-Himalayan,Ergative
east2343,16,15,0.9375,0.6818181818181818,east2343,Yohlmo,Trans-Himalayan,Ergative
fala1243,16,15,0.9375,0.6818181818181818,fala1243,Falam Chin,Trans-Himalayan,Ergative
ibal1244,15,14,0.9333333333333333,0.6363636363636364,ibal1244,Ibaloi,Austronesian,Ergative
dhar1247,15,14,0.9333333333333333,0.6363636363636364,dhar1247,Thargari,Pama-Nyungan,Ergative
huli1244,15,14,0.9333333333333333,0.6363636363636364,huli1244,Huli,Trans-New Guinea,Ergative
gugu1255,15,14,0.9333333333333333,0.6363636363636364,gugu1255,Guugu Yimithirr,Pama-Nyungan,Ergative
moro1289,14,13,0.9285714285714286,0.5909090909090909,moro1289,Marori,Trans-New Guinea,Ergative
gana1278,13,12,0.9230769230769231,0.5454545454545454,gana1278,Ganai,Pama-Nyungan,Ergative
east2545,13,12,0.9230769230769231,0.5454545454545454,east2545,Eastern Pomo,Pomoan,Ergative
kara1476,12,11,0.9166666666666666,0.5,kara1476,Karajarri,Pama-Nyungan,Ergative
coch1272,12,11,0.9166666666666666,0.5,coch1272,Cochimí,Cochimí-Yuman,Ergative
haka1240,12,11,0.9166666666666666,0.5,haka1240,Haka Chin,Trans-Himalayan,Ergative
nort2745,22,20,0.9090909090909091,0.9090909090909091,nort2745,Tundra Yukaghir,Yukaghir,Ergative
amdo1237,22,20,0.9090909090909091,0.9090909090909091,amdo1237,Amdo Tibetan,Trans-Himalayan,Ergative
ango1257,22,20,0.9090909090909091,0.9090909090909091,ango1257,U'wa,Chibchan,Ergative
adny1235,22,20,0.9090909090909091,0.9090909090909091,adny1235,Adnyamathanha,Pama-Nyungan,Ergative
boun1245,22,20,0.9090909090909091,0.9090909090909091,boun1245,Ku Waru,Trans-New Guinea,Ergative
mats1244,22,20,0.9090909090909091,0.9090909090909091,mats1244,Matsés,Panoan,Ergative
bujh1238,22,20,0.9090909090909091,0.9090909090909091,bujh1238,Bhujel,Trans-Himalayan,Ergative
lepc1244,22,20,0.9090909090909091,0.9090909090909091,lepc1244,Lepcha,Trans-Himalayan,Ergative
byan1241,22,20,0.9090909090909091,0.9090909090909091,byan1241,Byansi,Trans-Himalayan,Ergative
basq1248,22,20,0.9090909090909091,0.9090909090909091,basq1248,Basque,Language isolate,Ergative
bara1357,22,20,0.9090909090909091,0.9090909090909091,bara1357,Baram Thangmi,Trans-Himalayan,Ergative
bant1281,22,20,0.9090909090909091,0.9090909090909091,bant1281,Bantawa,Trans-Himalayan,Ergative
