Glottocode,Name,Family,n_domains_full,n_domains_partial,domains_full,domains_partial,status_Person,status_Aspect,status_Tense,status_Mood,status_Realis,status_Agentivity,status_Topicality,status_Animacy,status_Clause type
chuk1273,Chukchi,Chukotko-Kamchatkan,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
kaik1246,Kaike,Trans-Himalayan,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
jeru1240,Jero,Trans-Himalayan,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
jaru1254,Jaru,Pama-Nyungan,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
ibal1244,Ibaloi,Austronesian,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
hurr1240,Hurrian,Hurro-Urartian,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
daai1236,Daai Chin,Trans-Himalayan,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
huli1244,Huli,Trans-New Guinea,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
darl1243,Paakantyi,Pama-Nyungan,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
darm1243,Darma,Trans-Himalayan,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
guiq1238,Guiqiong,Trans-Himalayan,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
haka1240,Haka Chin,Trans-Himalayan,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
guru1261,Gurung,Trans-Himalayan,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
macu1259,Macushi,Cariban,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
belh1239,Belhare,Trans-Himalayan,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
bayb1234,Utudnon,Austronesian,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
arta1239,Arta,Austronesian,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
ship1254,Shipibo-Konibo,Panoan,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
nort2885,Northern Subanen,Austronesian,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
niue1239,Niuean,Austronesian,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
nhan1238,Nhanda,Pama-Nyungan,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
east2851,Geshiza,Trans-Himalayan,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
ersu1241,Ersu,Trans-Himalayan,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
mats1244,Matsés,Panoan,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
fala1243,Falam Chin,Trans-Himalayan,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
amdo1237,Amdo Tibetan,Trans-Himalayan,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
amis1246,Amis,Austronesian,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
masb1238,Masbatenyo,Austronesian,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
mari1424,Marrithiyel,Daly,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
bawm1236,Bawm Chin,Trans-Himalayan,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
maor1246,Maori,Austronesian,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
adny1235,Adnyamathanha,Pama-Nyungan,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
mais1250,Maisin,Trans-New Guinea,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
mail1248,Magi,Trans-New Guinea,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
awar1248,Avar,Nakh-Daghestanian,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
ayiw1239,Äiwoo,Austronesian,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
